k,s,lambda,Train ERMS,Val ERMS,Test ERMS
35,1.0,0.001,0.4048288170485695,0.4222125245874499,0.42431013410346013
28,1.0,0.001,0.40503648730335234,0.42226420495295347,0.4240627802097246
17,1.0,0.001,0.4056869785051292,0.42244223087162425,0.4238240558278844
35,0.7,0.1,0.40727057218842494,0.42407695383887345,0.4235757648512056
35,1.0,0.1,0.41203073202105456,0.42417291202310026,0.4242097479036947
28,0.7,0.1,0.40781794092809404,0.42424814645809783,0.4234970134555641
28,1.0,0.1,0.41324674607838047,0.42425293596511376,0.4244770413163124
17,0.7,0.1,0.40945429197825706,0.4252240363669163,0.42431473449979973
17,1.0,0.1,0.4157395233902511,0.4252932615606288,0.42488194597700296
35,0.7,1.0,0.41301736225959024,0.4259815755503826,0.4233061137856898
17,0.7,0.001,0.40273837601355833,0.42600006134660157,0.42719616609777167
35,0.7,0.001,0.39946374675567486,0.426051538686814,0.42998388478026867
28,0.7,1.0,0.414252585581891,0.42612136109043214,0.42361457149208065
28,0.7,0.001,0.40027190070590807,0.4265083872991634,0.4285331445126636
35,0.5,0.1,0.40425130135915033,0.42734664268812456,0.42653315865473496
17,0.7,1.0,0.4167669194347767,0.4275148247212936,0.42389583454038804
28,0.5,0.1,0.4054750559090908,0.42842680634467284,0.42571162078332087
35,0.5,1.0,0.41062842338115724,0.42846680763868744,0.4238744047111192
35,1.0,1.0,0.42052218849383416,0.4286246542457558,0.42468371125638876
28,0.5,1.0,0.4115574064163501,0.4287929128005839,0.42374401728877537
17,0.5,0.1,0.4083737055353667,0.4290760450073332,0.4255892378170187
28,1.0,1.0,0.42118235099590906,0.42914199192042235,0.4248371695750334
17,0.5,1.0,0.41382103455367913,0.4298858041734755,0.4247367512482123
35,0.5,0.001,0.39427348393580425,0.4308299724546969,0.4406257783679399
17,1.0,1.0,0.42262257536619896,0.43117074863128585,0.4246861500423515
28,0.5,0.001,0.39481506747235356,0.43164664486195764,0.4388210169524513
17,0.5,0.001,0.3996098991823942,0.43184171723210735,0.43751313946970005
35,0.1,0.001,0.42959362152472863,0.5052083939594113,0.47236142212911614
35,0.1,0.1,0.42981870178289483,0.5057608462976457,0.4704195006697456
35,0.1,1.0,0.4406239165463097,0.5188067684864164,0.4704956600987349
28,0.1,0.001,0.4393138963703324,0.5211745354396322,0.4696353451729948
28,0.1,0.1,0.4394957105147532,0.5219167705440243,0.4685513713973427
28,0.1,1.0,0.4495892125924912,0.5335768820581485,0.4725382821354606
17,0.1,0.1,0.4822532928786934,0.5559340696327458,0.5141777222367688
17,0.1,0.001,0.4820905804081247,0.556075433359219,0.516182237627858
17,0.1,1.0,0.49114529584811717,0.5632702197756162,0.5118200257137886
